gene	GSM1220552	GSM1220553	GSM1220554	GSM1220555	GSM1220556	GSM1220557	GSM1220558	GSM1220559
ENSG00000239836	27.64	10.78	26.56	35.67	37.90	20.49	23.07	21.16
ENSG00000239839	0.00	0.24	0.00	0.12	2.27	0.00	0.00	0.00
ENSG00000239840	0.00	0.00	0.14	0.00	0.08	0.00	0.00	0.00
ENSG00000239855	0.54	118.40	2.50	0.90	27.86	0.70	0.08	0.00
ENSG00000239856	0.00	0.00	0.00	0.24	0.00	0.26	0.00	0.00
ENSG00000239857	27.56	21.90	23.24	18.83	18.33	19.71	26.50	63.28
ENSG00000239859	0.27	0.15	0.31	0.58	0.34	0.52	0.13	0.46
ENSG00000239861	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00
ENSG00000239862	0.22	3.75	2.50	3.84	0.37	0.00	0.22	0.00
ENSG00000239865	0.77	0.74	13.06	1.12	14.69	1.33	0.71	36.00
ENSG00000239868	0.12	0.13	0.52	0.26	0.29	0.42	0.11	0.00
ENSG00000239870	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00
ENSG00000239872	0.39	0.32	0.42	0.21	0.24	0.12	0.09	0.11
ENSG00000239877	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
ENSG00000239880	0.00	0.03	0.03	0.00	0.04	0.00	0.00	0.00
ENSG00000239881	1.66	0.48	0.00	0.30	0.34	0.35	0.38	0.14
ENSG00000239882	0.01	0.21	0.00	0.23	0.04	0.09	0.04	0.06
ENSG00000239883	0.08	0.48	0.53	0.73	1.55	0.47	0.76	0.37
ENSG00000239884	2.79	2.49	0.42	2.03	1.57	2.16	1.39	0.28
ENSG00000239886	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSG00000239887	0.22	0.30	0.04	0.54	0.37	0.24	0.22	0.59
ENSG00000239891	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00
ENSG00000239893	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
ENSG00000239900	44.52	35.38	55.00	34.37	54.25	49.89	39.19	31.30
ENSG00000239903	0.00	0.00	0.14	0.05	0.03	0.04	0.03	0.00
ENSG00000239906	0.13	4.80	5.04	5.49	3.12	1.10	2.93	3.12
ENSG00000239908	0.00	0.13	0.39	0.00	0.29	0.28	1.00	0.14
ENSG00000239911	3.79	3.21	3.11	2.20	0.66	1.24	0.70	0.77
ENSG00000239912	0.00	0.30	0.32	0.30	0.00	0.32	0.25	0.59
ENSG00000239917	0.31	0.13	0.36	0.00	0.43	0.21	0.22	0.20
ENSG00000239919	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00
